2023-04-17 23-32-24 top info:
Tasks: 750 total,   4 running, 744 sleeping,   0 stopped,   2 zombie
  Mem:  7703324K total,  7035380K used,   667944K free,   5562368 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2652972K cached
800%cpu 157%user   3%nice 267%sys 373%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  2440 u0_a65       20   0 5.2G 101M  85M S  0.0   1.3   0:00.95 android.process.media
  2318 u0_a196      20   0 5.0G  67M  57M S  0.0   0.8   0:00.11 com.vivo.timerwidget
  2223 u0_a154      20   0 5.1G  85M  74M S  0.0   1.1   0:00.22 com.vivo.widget.gallery
  2144 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1942 u0_a158      20   0 6.2G 152M 134M S  0.0   2.0   0:02.53 com.vivo.hiboard
  1908 u0_a126      20   0 5.5G 122M 103M S  0.0   1.6   0:05.50 com.vivo.globalsearch
  1760 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1543 u0_a144      20   0 5.2G 119M 103M S  0.0   1.5   0:01.21 com.vivo.musicwidgetmix
   747 u0_a129      20   0 5.2G 108M  92M S  0.0   1.4   0:00.71 com.bbk.theme
   615 u0_a90       20   0 5.0G  78M  66M S  0.0   1.0   0:00.34 com.vivo.xspace
 32723 u0_a159      10 -10 7.8G 273M 219M S  0.0   3.6   0:42.37 com.bbk.launcher2
 32696 system       20   0 6.3G 124M 109M S  0.0   1.6   0:06.05 com.vivo.assistant
 32146 u0_a71       20   0  37G 9.4M 9.4M S  0.0   0.1   0:00.28 libweexjsb.so 316 317 1 /data/user/0/com.vivo.browser/app_crash/crash_dump.log
 31840 u0_a204      20   0 5.2G  93M  81M S  0.0   1.2   0:00.58 com.vivo.puresearch
 31112 u0_a242       0 -20 7.3G 171M 152M S  0.0   2.2   0:11.13 com.eg.android.AlipayGphone
 31061 u0_a242      20   0 6.5G 141M 125M S  0.0   1.8   0:12.83 com.eg.android.AlipayGphone:push
 31029 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 30766 u0_a162      20   0 5.1G  98M  82M S  0.0   1.2   0:00.81 com.bbk.cloud
 30692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 30631 u0_a154      20   0 5.5G 117M 102M S  0.0   1.5   0:03.87 com.vivo.gallery
 30484 u0_a174      20   0 5.5G 153M 129M S  0.0   2.0   0:01.57 com.google.android.gms.unstable
 30115 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [sugov:7]
 29380 root         20   0    0    0    0 I  0.0   0.0   0:07.26 [kworker/0:0]
 26607 system       20   0 5.2G  84M  78M S  0.0   1.1   0:00.44 com.android.bbklog
 25110 root         20   0    0    0    0 I  0.0   0.0   0:09.34 [kworker/u16:9]
 21556 system       20   0 5.4G 110M  98M S  0.0   1.4   0:02.39 com.vivo.aiengine:persona
 20983 u0_a174      20   0 5.2G 107M 100M S  0.0   1.4   0:00.82 com.google.android.gms.ui
 20896 system       20   0 5.1G  77M  69M S  0.0   1.0   0:00.24 com.android.keychain
 19663 u0_a264      20   0 6.0G 131M 118M S  0.0   1.7   0:04.84 com.xunmeng.pinduoduo:lifecycle
 18987 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 17104 root          0 -20    0    0    0 I  0.0   0.0   0:00.88 [kworker/1:2H]
 16352 root         20   0    0    0    0 I  0.0   0.0   0:10.18 [kworker/u16:4]
 16340 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fs_suspend_syss]
 15390 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 15358 u0_a106      20   0 5.4G 130M 124M S  0.0   1.7   0:04.13 com.vivo.secime.service
 15291 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 13443 u0_a148      20   0 5.3G  84M  75M S  0.0   1.1   0:00.53 com.vivo.familycare.local
 10082 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  9985 u0_i9001     20   0  10G 110M 100M S  0.0   1.4   0:03.03 com.vivo.browser:vivo_sandboxed_process0:org.chromium.content.app.VivoSandboxedProcessService0:0
  9930 u0_a177      20   0 1.4G  75M  66M S  0.0   0.9   0:00.55 com.google.android.webview:webview_service
  8879 system       20   0 2.0G 3.2M 2.5M S  0.0   0.0   0:00.08 wifi_dump
  8875 system       20   0 2.0G 3.3M 2.6M S  0.0   0.0   0:00.08 bt_dump
  8771 u0_a264      20   0 6.3G 144M 114M S  0.0   1.9   0:59.51 com.xunmeng.pinduoduo:titan
  8753 u0_a365      20   0 7.1G 140M 118M S  0.0   1.8   0:32.69 com.tencent.mm
  8699 u0_a365      20   0 7.3G 132M 112M S  0.0   1.7   0:38.61 com.tencent.mm:push
  8441 system       20   0 5.1G  79M  73M S  0.0   1.0   0:00.73 com.vivo.contentcatcher
  8298 system       20   0 5.1G  91M  81M S  0.0   1.2   0:04.23 com.vivo.contentcatcher:persist
  8118 system       20   0 5.0G  75M  71M S  0.0   0.9   0:00.19 com.vivo.audiofx
  7630 u0_a173      20   0 6.0G 138M 107M S  0.0   1.8   0:10.43 com.android.vending
  7565 u0_a67       20   0 5.5G 151M 137M S  0.0   2.0   0:22.40 com.android.permissioncontroller
  7269 system       20   0 5.0G  72M  67M S  0.0   0.9   0:00.16 com.iqoo.powersaving:daemon
  7218 bluetooth    20   0 5.5G 100M  88M S  0.0   1.3   0:03.14 com.android.vivo.tws.vivotws
  7139 system       20   0 5.2G  85M  78M S  0.0   1.1   0:00.29 com.vivo.voicewakeup
  6649 u0_a88       20   0 5.4G  97M  86M S  0.0   1.2   0:05.21 com.vivo.safecenter
  6629 u0_a103      20   0 6.0G 113M  96M S  0.0   1.5   0:20.06 com.iqoo.secure:remote
  6341 u0_a83       20   0 6.0G 244M 202M S  0.0   3.2   0:28.23 com.sohu.inputmethod.sogou.vivo
  6089 radio        20   0 5.4G 103M  92M S  0.0   1.3   0:02.95 com.vivo.devicereg
  5626 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
