2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  2144 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1942 u0_a158      20   0 6.2G 152M 134M S  0.0   2.0   0:02.50 com.vivo.hiboard
  1908 u0_a126      20   0 5.5G 135M 107M S  0.0   1.7   0:05.43 com.vivo.globalsearch
  1760 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1543 u0_a144      20   0 5.2G 120M 103M S  0.0   1.6   0:01.14 com.vivo.musicwidgetmix
  1302 u0_a199      20   0 5.1G  83M  70M S  0.0   1.0   0:00.16 com.vivo.widget.calendar
  1190 u0_a129      20   0 5.1G  98M  83M S  0.0   1.3   0:00.21 com.bbk.theme.useinstructions
  1140 u0_a216      20   0 5.1G  97M  83M S  0.0   1.2   0:00.54 com.vivo.doubletimezoneclock
   747 u0_a129      20   0 5.2G 109M  93M S  0.0   1.4   0:00.69 com.bbk.theme
   615 u0_a90       20   0 5.0G  79M  66M S  0.0   1.0   0:00.34 com.vivo.xspace
 32754 u0_a91       20   0 5.0G  70M  59M S  0.0   0.9   0:00.07 com.android.carrierdefaultapp
 32723 u0_a159      10 -10 7.9G 347M 264M S  0.0   4.6   0:39.31 com.bbk.launcher2
 32696 system       20   0 6.3G 139M 114M S  0.0   1.8   0:06.01 com.vivo.assistant
 32675 u0_a95       20   0 5.0G  87M  74M S  0.0   1.1   0:00.12 com.android.BBKClock
 32673 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/7:1]
 32650 root          0 -20    0    0    0 I  0.0   0.0   0:03.99 [kworker/u17:9]
 32146 u0_a71       20   0  37G 9.4M 9.4M S  0.0   0.1   0:00.28 libweexjsb.so 316 317 1 /data/user/0/com.vivo.browser/app_crash/crash_dump.log
 31840 u0_a204      20   0 5.2G  94M  82M S  0.0   1.2   0:00.57 com.vivo.puresearch
 31723 u0_a378      20   0 5.4G  98M  83M D  0.0   1.3   0:02.39 com.geega.livan.livan
 31609 u0_a127      20   0 5.0G  88M  75M S  0.0   1.1   0:00.35 com.vivo.vivo3rdalgoservice
 31572 u0_a140      20   0 5.8G  95M  80M S  0.0   1.2   0:00.45 com.android.camera
 31223 u0_a242      20   0 6.0G  93M  85M S  0.0   1.2   0:01.40 com.eg.android.AlipayGphone:tools
